name;state;city;country_code;
CHIROPRACTIC SOCIETY INC MASSACHUSETTS;MA;BRAINTREE;us;
SUDBURY HISTORICAL SOCIETY INC;MA;Sudbury;us;
Seekonk Land Conservation Trust Inc;MA;Seekonk;us;
SOMERSET BASEBALL LEAGUE;MA;SOMERSET;us;
MENTAL HEALTH ASSOCIATION INC;MA;SPRINGFIELD;us;
Ciccolo Family Foundation;MA;BOSTON;us;
Ina & Lewis Heafitz Charitable Foundation;MA;CHARLESTOWN;us;
Dothouse Health;MA;DORCHESTER;US;
Advocates Inc;MA;FRAMINGHAM;us;
Acton Community Supper and Food Pantry;MA;ACTON;us;
Lappin Foundation;MA;Salem;US;
Fidelity Investments Charitable Gift Fund;MA;BOSTON;US;
Harvard Pilgrim Health Care Foundation;MA;WELLESLEY;US;
Van Otterloo Family Foundation;MA;MARBLEHEAD;us;
Boston Bruins Charitable Foundation;MA;BOSTON;us;
Michael T Sherman Foundation;MA;BOSTON;us;
Lowell Community Loan Fund;MA;LAWRENCE;US;
Base BSTN;MA;Brookline;US;
Honeymoon Israel;GA;Atlanta;US;
Moishe House;CA;Encinitas;US;
AIDS Action Committee of Massachusetts;MA;Boston;US;
Wyoma Little League Inc;MA;Lynn;us;
ALAN D & JUDITH TOBIN CHARITABLE FOUNDATION;MA;CHESTNUT HILL;us;
Asiyah;MA;Somerville;US;
ZoomLehrhaus;CA;Los Angeles;US;
Teen Beit Midrash of Hebrew College;MA;Newton;US;
Boston Plan for Excellence;MA;ROXBURY;US;
New England Center for Arts and Technology;MA;BOSTON;US;
Newmarket Community Partners;MA;BOSTON;US;
Cambridge Community Center;MA;CAMBRIDGE;US;
Cape Verdean Community Unido;MA;Boston;US;
Jewish Advocate Religious News;MA;Boston;US;
Brandeis University;MA;Waltham;US;
My Awesome Nonprofit;MA;Cambridge;US;
Challah for Hunger;PA;Philadelphia;US;
Project RIGHT;MA;Boston;US;
Lawyers Committee for Civils Rights;MA;Boston;US;
Roxbury Youth Works;MA;Boston;US;
Agassiz Baldwin Community, A Cambridge Corporation;MA;Cambridge;US;
Aid Organization for Refugees and Asylum Seekers in Israel;NY;Tel Aviv-Yafo;IL;
Israel Emergency Alliance;CA;Los Angeles;US;
Richard and Susan Smith Family Foundation;MA;Newton Lower Falls;US;
The Center for International Migration and Integration;NY;Jerusalem;IL;
Jerusalem African Community Center;NY;Jerusalem;IL;
GEORGE B HENDERSON FOUNDATION;MA;BOSTON;US;
M RUTH LEE SCHOLARSHIP FUND;MA;PRINCETON;us;
The Hotline for Refugees and Migrants;AL;Tel Aviv-Yafo;IL;
African Refugee Development Center;NY;Tel Aviv-Yafo;IL;
Elifelet - Citizens for Refugee Children;WA;Tel Aviv-Yafo;IL;
DANVERS ART ASSOCIATION INC CO SHIRLEY GUERRIERO;MA;PEABODY;us;
Facing History and Ourselves;MA;Boston;US;
The BASE;MA;Boston;US;
Community Resources for Justice;MA;Boston;US;
Temple Beth Avodah ;MA;Newton;US;
Temple Beth Shalom ;MA;Needham;US;
Massachusetts Association of Community Development Corporations ;MA;Boston;US;
Bikes Not Bombs;MA;Boston;US;
Families for Justice as Healing;MA;Boston;US;
Camp Young Judaea New Hampshire;MA;Framingham;US;
Jookender Community Initiatives;MA;FRAMINGHAM;US;
Amelia Peabody Foundation;MA;Wellesley;US;
Criminal Justice Policy Coalition;MA;Boston;US;
Mothers for Justice and Equality;MA;Boston;US;
Jewish Family Service of Metrowest;MA;Framingham;US;
Jewish Vocational Service;MA;Boston;US;
Yad Chessed Fund;MA;Waltham;US;
Jewish Family & Childrenâ€™s Service;MA;Waltham;US;
Black Ministerial Alliance of Greater Boston;MA;Boston;US;
The Institute on Race and Justice, Northeastern University;MA;Boston;US;
La Alianza Hispana;MA;Boston;US;
The William J Seymour Institute for Black Church and Policy Studies;MA;Boston;US;
YW Boston;MA;Boston;US;
The Dudley Street Neighborhood Initiative;MA;Boston;US;
ACLU: Massachussets;MA;Boston;US;
UP Education Network;MA;Boston;US;
Greater Boston Food Bank;MA;Boston;US;
Keshet;MA;BOSTON;US;
Jewish Big Brothers Big Sisters Of Greater Boston;MA;Newton;US;
Jewish Cemetery Association of Massachusetts;MA;Newton;US;
Jewish Community Center (JCC) of Greater Boston;MA;Newton Center;US;
Women Encouraging Empowerment Inc;MA;Revere;US;
Resilient Coders;MA;Cambridge;US;
Smarter in the City;MA;Boston;US;
Jamaica Plain Neighborhood Development Corporation;MA;JAMAICA PLAIN;US;
Combined Jewish Philanthropies (CJP) of Greater Boston;MA;Boston;US;
MICHAEL ROTHBERG SEPT 11TH MEMORIAL SCHOLARSHIP INC;MA;SHARON;us;
Action for Post-Soviet Jewry;MA;Waltham;US;
Cambridge Community Foundation;MA;Cambridge;US;
The Wyner Family Jewish Heritage Center at New England Historic Genealogical Society;MA;Boston;US;
Jewish Arts Collaborative;MA;NEWTON CENTER;US;
Hebrew SeniorLife;MA;Boston;US;
Anti-Defamation League (ADL) - New England;NY;New York;US;
Alef-Bet Child Care ;MA;Cambridge;US;
Hertz Nursery School;MA;Sharon;US;
American Jewish World Service;NY;New York;US;
Ruderman Family Foundation;MA;Newton;US;
BLUE HILLS BANK FOUNDATION INC;MA;NORWOOD;US;
REVERE BEACH PARTNERSHIP INC;MA;REVERE;us;
American Jewish Committee (AJC) New England;NY;New York;US;
Nonprofit Organization #1;MA;Springfield;US;
Aleph Academy;MA;Swampscott;US;
Cambridge Preschool of the Arts ;MA;Cambridge;US;
Frances Jacobson Early Childhood Center;MA;Boston;US;
Gan Aliyah Preschool;MA;Needham;US;
Gan Elohim Early Learning Center;MA;Wellesley;US;
Solomon Schechter Day School;MA;Newton;US;
Jewish Community Center (JCC) of the North Shore ;MA;Marblehead;US;
"JCCGB ""Gilson"" Sharon";MA;Sharon;US;
"JCCGB ""Godine"" Newton";MA;Newton;US;
JCCGB Brookline/Brighton;MA;Brighton;US;
JCCGB Preschool Hingham;MA;Hingham;US;
Jewish Creative Preschool;MA;Newton;US;
Jewish Preschool of Acton;MA;Acton;US;
Jewish Preschool of Lexington (JPL);MA;Lexington;US;
Judy Gordon Nursery School;MA;Natick;US;
Kesher Nevatim;MA;Somerville;US;
Maimonides School;MA;Brookline;US;
Chabad Lubavitch Jewish Center of Needham;MA;Needham;US;
North Suburban Jewish Community Center;MA;Peabody;US;
Shaloh House Jewish Day School;MA;Brighton;US;
Shaloh House Preschool - Stoughton;MA;Stoughton;US;
Shirat Hayam Center for Early Education;MA;Swampscott;US;
Striar Hebrew Academy Yaakov Spellman Early Learning Center;MA;Sharon;US;
Temple Emanuel;MA;Newton;US;
Temple Shalom Of Newton;MA;Newton;US;
Temple Shir Tikva ;MA;Wayland;US;
Temple Tiferet Shalom Preschool;MA;Peabody;US;
Temple Emunah;MA;Lexington;US;
The Diane K. Trust Center for Early Education;MA;Brookline;US;
The Judge Lewis and Mrs. Mildred Goldberg Preschool at Kehillath Israel;MA;Brookline;US;
Torah Academy Brookline;MA;Brighton;US;
Yal-Day-New Daycare Center;MA;Allston;US;
Chabad of Downtown Boston;MA;Boston;US;
Committee for Accuracy in Middle East Reporting in America (CAMERA) Young Leadership;MA;BOSTON;US;
Beantown Jewish Gardens (Ganei Beantown);MA;Framingham;US;
Mechon Hadar;NY;New York;US;
Jewish Community of Dover and Sherborn;MA;Dover;US;
B'nai B'rith Youth Organization (BBYO) - New England Region;MA;Needham;US;
Brandeis University Hillel;MA;WALTHAM;US;
Boston University Hillel;MA;BOSTON;US;
Vilna Shul, Boston's Center for Jewish Culture;MA;BOSTON;US;
National Center for Jewish Film;MA;WALTHAM;US;
The MEM Project;MA;Needham;US;
Camp Ramah in New England;NJ;Englewood;US;
Aish Campus Boston;MA;Brighton;US;
Hillel Council of New England;MA;NEWTON CENTER;US;
Hillel of UMass/Amherst;MA;AMHERST;US;
Beth Israel Deaconess Medical Center;MA;Boston;US;
Jewish Women's Archive;MA;Brookline;US;
Russian Jewish Community Foundation;MA;NEWTON CENTER;US;
Jewish Educational and Cultural Center Makor ;MA;BROOKLINE;US;
Hope and Comfort;MA;NEEDHAM;US;
Jewish Alliance for Law and Social Action;MA;BOSTON;US;
18Doors;MA;Natick;US;
LEARNING UNLIMITED INC;MA;Cambridge;us;
Aiyana Foundation Inc;MA;Weston;us;
St Mary's Housing Corporaton;MA;Boston;us;
CLEGHORN ATHLETIC ASSN ST JOSEPH CLUB;MA;FITCHBURG;us;
LEOMINSTER HISTORICAL SOCIETY INC;MA;LEOMINSTER;us;
INSTITUTE FOR ENERGY AND SUSTAINABILITY INC;MA;WORCESTER;us;
ASHLAND YOUTH BASKETBALL INC;MA;ASHLAND;us;
THE OWENS FAMILY FOUNDATION;MA;NORWELL;US;
THE HONEY DEW FAMILY FOUNDATION INC;MA;PLAINVILLE;US;
CENTER FOR NONVIOLENT SOLUTIONS INC;MA;WORCESTER;us;
SPRINGFIELD KENNEL CLUB INC;MA;BRIMFIELD;us;
WORK HOUSING CORPORATION;MA;DORCHESTER;us;
TRAVIS BEST FOUNDATION INC;MA;SPRINGFIELD;us;
SOUTH END SOCCER INC;MA;BOSTON;us;
Poduska Family Foundation Inc co Susan M Poduska;MA;Weston;us;
PLYMOUTH BAY HOUSING CORPORATION;MA;PLYMOUTH;us;
BAILIN BROTHERS FOUNDATION;MA;WORCESTER;us;
LAWRENCE MODEL LODGING HOUSES TRUST DONALD VAUGHAN ET AL TRUSTEE;MA;BOSTON;US;
WILLIAMSTOWN GARDEN CLUB;MA;WILLIAMSTOWN;us;
LARSSON DANFORTH FAMILY FOUNDATION;MA;MATTAPOISETT;us;
MILTON RESIDENCES FOR THE ELDERLY INC;MA;MILTON;us;
Zamir Chorale of Boston;MA;NEWTON;US;
GEORGE H & JANE A MIFFLIN MEMORIAL FUND;MA;BOSTON;US;
METRO NORTH REGIONAL EMPLOYMENT BOARD;MA;CAMBRIDGE;US;
OneWorld Boston Inc;MA;Woburn;US;
HILLEL FOUNDATION OF CAMBRIDGE INC;MA;CAMBRIDGE;US;
THE CAMOSSE FAMILY FOUNDATION INC;MA;CHARLTON;US;
Institute of Contemporary Art;MA;BOSTON;US;
Jose Mateo Ballet Theatre;MA;CAMBRIDGE;US;
The Boston Foundation ;MA;Boston;US;
Billerica Cat Care Coalition Inc;MA;North Billerica;us;
Chelsea Jewish Lifecare;MA;CHELSEA;US;
STEMBERG THOMAS G CHAR FND ATTN C HURLEY BBH;MA;BOSTON;US;
SHALOM FAMILY CHARITABLE FOUNDATION;MA;NEEDHAM;US;
THE HAROLD GRINSPOON FOUNDATION;MA;AGAWAM;US;
BOSTON AFTER SCHOOL & BEYOND INC;MA;BOSTON;US;
BOSTON STATE COMMUNITY TRUST INC;MA;MATTAPAN;US;
EdVestors Incorporated;MA;Boston;US;
UNITED ASSOCIATION JOURNEYMAN & APPRECTICES PLUMBING & PIPEFITTING;MA;W BOYLSTON;us;
Yeshiva Ohr Yisrael High School for Boys;MA;CHESTNUT HILL;US;
Massachusetts Service Alliance;MA;BOSTON;US;
THE BOSTON ATHLETIC ASSOCIATION;MA;BOSTON;US;
THE CROLL FOUNDATION;MA;BOSTON;US;
MassMutual Foundation Inc;MA;Springfield;US;
BOSTON SCHOOLS FUND INC;MA;BOSTON;US;
COMMUNITY DEVELOPMENT CORPORATION OF BOSTON INC;MA;BOSTON;US;
ABRAHAM SHAPIRO CHARITY FUND C/O MORRIS & MORRIS;MA;NEEDHAM;US;
THE DAY CHARITABLE TRUST;MA;WOBURN;US;
SUFFOLK CARES CHARITABLE FOUNDATION INC;MA;BOSTON;US;
ROGER FELDMAN FOUNDATION;MA;BOSTON;US;
THE LENNY ZAKIM FUND C/O DLA PIPER LLP;MA;BOSTON;US;
Wellington Management Foundation;MA;BOSTON;US;
TUGG CORP;MA;BOSTON;US;
THE PHILANTHROPY CONNECTION INC FORMERLY WOMEN GRANT-MAKERS OF MASS;MA;CAMBRIDGE;US;
The McCourt Foundation Inc;MA;Braintree;us;
GILDEA-O'KEEFE FOUNDATION C/O LISA RICO;MA;NEEDHAM;us;
OUR COMMUNITY FOOD PANTRY INC;MA;SOUTHWICK;us;
Boston Children's Hospital;MA;Boston;US;
MASSACHUSETTS HOUSING INVESTMENT CORPORATION;MA;BOSTON;US;
THE HYDE SQUARE TASK FORCE INC;MA;JAMAICA PLAIN;US;
PARTNERS HEALTHCARE SYSTEM INC & AFFILIATES GROUP RETURN;MA;SOMERVILLE;US;
NEEDHAM ROTARY CLUB MEMORIAL SCHOLARSHIP FUND;MA;NEEDHAM;us;
Worcester Roots Project Inc;MA;Worcester;us;
NAIOP;MA;NEEDHAM;US;
TRUST UWO HERMAN DANA;MA;NEWTON;US;
JANEY FUND CHARITABLE TRUST C/O C&R MANAGEMENT;MA;CHESTNUT HILL;US;
CAIL FAMILY FOUNDATION;MA;CHESTNUT HILL;US;
STEVEN K AND WINIFRED A GRINSPOON FOUNDATION;MA;WEST SPRINGFIELD;US;
Mirowski Family Foundation Inc;MA;Chestnut Hill;US;
BETH ISRAEL DEACONESS DEPARTMENT OF SURGERY FOUNDATION INC;MA;BOSTON;US;
Trustees of Boston University;MA;BOSTON;US;
President and Fellows of Harvard College;MA;CAMBRIDGE;US;
Tufts University;MA;Somerville;US;
JEWISH FEDERATION OF WESTERN MASSACHUSETTS INC;MA;SPRINGFIELD;US;
HEALTH RESOURCES IN ACTION INC;MA;BOSTON;US;
CENTER FOR NUTRITIONAL RESEARCH CHARITABLE TRUST;MA;JAMAICA PLAIN;US;
HINDA L & ARTHUR MARCUS FOUNDATION;MA;CHESTNUT HILL;US;
Boston Medical Center;MA;BOSTON;US;
CARL J SHAPIRO INSTITUTE FOR EDUCATION AND RESEARCH AT HARVARD MEDICAL SCHOOL;MA;BOSTON;US;
REACH OUT AND READ INC;MA;BOSTON;US;
IRENA BRONSTEIN & EUGENE BONTE CHARITABLE FOUNDATION;MA;WALTHAM;US;
THE SHAPIRO FOUNDATION;MA;NEEDHAM;US;
JOSEPH M & THELMA LINSEY FOUNDATION;MA;NEWTON;US;
JUSTIN & GENEVIEVE WYNER TRUST;MA;DEDHAM;US;
TR UW G GORHAM PETERS 7513-XXXXXX07373;MA;BOSTON;US;
ROBERT AND DIANE JAYE CHARITABLE TRUST DTD 10/13/92;MA;BROOKLINE;US;
ESMOND HARMSWORTH 1997 CHARITABLE FOUNDATION;MA;BOSTON;US;
BROWN CHARITABLE FOUNDATION C/O KENNETH A ALPERIN TRUSTEE;MA;NEWTON;US;
AQUIDNECK FOUNDATION C/O GOLDMAN SACHS S KAY;MA;BOSTON;US;
The DiNovi Family Foundation;MA;WELLESLEY;US;
DCU for Kids Laurie LaChapelle ChairmanTreasurer;MA;Marlborough;US;
HARVARD MEDICAL FACULTY PHYSICIANS AT BETH ISRAEL DEACONESS MEDICAL CENTER INC;MA;BOSTON;US;
MGS & RRS CHARITABLE TRUST;MA;BOSTON;US;
THE WANG FOUNDATION C/O MARY KATHLEEN O'CONNELL TRUSTEE;MA;BOSTON;US;
Arts and Business Council of Greater Boston;MA;Boston;US;
Arts Boston;MA;BOSTON;US;
Celebrity Series of Boston;MA;BOSTON;US;
New Dance Complex;MA;CAMBRIDGE;US;
Emerald Necklace Conservancy;MA;BOSTON;US;
Empower Schools;MA;BOSTON;US;
Mass Insight Education and Research Institute;MA;BOSTON;US;
Massachusetts Business Alliance for Education;MA;BOSTON;US;
Center for Artistry and Scholarship;MA;DORCHESTER;US;
Now and There;MA;BOSTON;US;
Rose Fitzgerald Kennedy Greenway Conservancy;MA;BOSTON;US;
Center for Collaborative Education Metro Boston;MA;BOSTON;US;
Hebrew College;MA;NEWTON;US;
Boston Education Skills & Training (BEST) Corp. Hospitality Training Center;MA;MEDFORD;US;
Center for Women & Enterprise;MA;BOSTON;US;
Commonwealth Kitchen;MA;DORCHESTER;US;
Urban Farming Institute of Boston;MA;MATTAPAN;US;
Venture CafÃ© Foundation;MA;CAMBRIDGE;US;
Bais Yaakov of Boston;MA;BRIGHTON;US;
MetroWest Jewish Day School;MA;FRAMINGHAM;US;
Jewish Community Day School (JCDS) of Boston;MA;Watertown;US;
New England Hebrew Academy;MA;Brookline;US;
LimmudBoston;MA;WABAN;US;
Boston Workmen's Circle Center for Jewish Culture & Social Justice;MA;BROOKLINE;US;
Ahavath Torah Congregation;MA;Stoughton;US;
Beth Menachem Chabad of Newton;MA;Newton;US;
B'nai Or of Boston;MA;Waltham;US;
Congregation Beth Elohim;MA;Acton;US;
Chabad Lubavitch of the North Shore;MA;Swampscott;US;
Chai Center of Brookline;MA;Brookline;US;
Temple Beth Elohim;MA;Wellesley Hills;US;
ALEPH:  Alliance for Jewish Renewal;PA;Philadelphia;US;
Anti Defamation League Foundation;NY;New York;US;
Catholic Charities - Archdiocese of Boston;MA;Boston;US;
Chabad Lubavitch Center of Greater Milford;MA;Milford;US;
Chabad of Newton Centre;MA;Newton;US;
McLean Hospital;MA;Belmont;US;
Temple Emanuel of Marlborough;MA;Marlborough;US;
American Jewish Historical Society;NY;New York;US;
Holbrook Jewish Community Center;MA;Holbrook;US;
Jewish Cemetery Association of Massachusetts Charitable Foundation;MA;Newton;US;
Jewish Council for Public Affairs;NY;New York;US;
Jewish Teen Initiative of Greater Boston;MA;Marblehead;US;
OneTable;NY;New York;US;
Tifereth Raphael;MA;Brighton;US;
United Way of Massachusetts Bay and Merrimack Valley;MA;Boston;US;
Chabad Center of Brookline MA;MA;Brookline;US;
Congregation Beth Pinchas - New England Chassidic Center;MA;Brookline;US;
2Life Communities;MA;Brighton;US;
Gift of Life Bone Marrow Foundation;FL;Boca Raton;US;
Hasbara Fellowships;NY;New York;US;
HIAS;MD;Silver Spring;US;
Jewish Community Centers Association of North America;NY;New York;US;
Jewish Funders Network;NY;New York;US;
The Jewish Federations of North America;NY;New York;US;
American Jewish Joint Distribution Committee;NY;New York;US;
MARC & ERNEST PALLOTTA FOUNDATION INC;MA;WORCESTER;US;
Union for Reform Judaism;NY;New York;US;
Union of Orthodox Jewish Congregations of America;NY;New York;US;
Masorti Foundation for Conservative Judaism in Israel;NY;New York;US;
Camp Young Judaea Sprout Lake;NY;New York;US;
American Friends of Midreshet Harova;NY;Woodmere;US;
HomeStart;MA;Boston;US;
Repair The World;NY;New York;US;
Congregation Shir Hadash;MA;Newton;US;
Temple Adath Sharon;MA;Sharon;US;
ENGLISH FOR NEW BOSTONIANS INC;MA;BOSTON;US;
Gateways: Access to Jewish Education;MA;NEWTON;US;
New England Foundation for the Arts;MA;BOSTON;US;
BOSTON DANCE ALLIANCE INC;MA;BOSTON;US;
Essex County Community Foundation;MA;Danvers;US;
Philanthropy Massachusetts;MA;Boston;US;
Cape Cod Foundation;MA;South Yarmouth;US;
The Louis Foundation;MA;CAMBRIDGE;US;
Stevenson Family Charitable Trust;MA;CAMBRIDGE;US;
Action for Boston Community Development;MA;Boston;us;
Breakthrough Greater Boston;MA;CAMBRIDGE;us;
Cambridge Family and Children's Service;MA;CAMBRIDGE;us;
Community Action Agency of Somerville;MA;SOMERVILLE;us;
Friends of the Community Learning Center;MA;CAMBRIDGE;us;
De Novo Center for Justice and Healing;MA;Cambridge;US;
Enroot;MA;CAMBRIDGE;US;
Food For Free Committee;MA;CAMBRIDGE;US;
Hildebrand Family Self-Help Center;MA;CAMBRIDGE;us;
Rian Immigrant Center;MA;BOSTON;US;
Metro Housing|Boston;MA;BOSTON;us;
Somerville Homeless Coalition;MA;SOMERVILLE;US;
Somerville YMCA;MA;Somerville;US;
Tech Goes Home;MA;BOSTON;us;
The Welcome Project;MA;SOMERVILLE;us;
Tutoring Plus of Cambridge;MA;CAMBRIDGE;us;
Y2Y Network;MA;CAMBRIDGE;us;
YWCA Cambridge;MA;CAMBRIDGE;us;
THE SANDMAN FAMILY FOUNDATION;MA;WELLESLEY;US;
Kendall Square Association;MA;CAMBRIDGE;us;
National Association of Charitable Gift Planners;MA;YARMOUTH PORT;us;
Adaptive Sports New England;MA;Boston;US;
Chabad of Brookline Inc;MA;Brookline;US;
Boston Jewish Film, Inc.;MA;West Newton;US;
